,age,native_language,sex,zcr
713,20.0,italian,male,79537
714,48.0,italian,male,48036
715,40.0,italian,male,56057
716,28.0,italian,male,45707
717,20.0,italian,male,86389
718,19.0,italian,male,76896
719,46.0,italian,male,95978
720,32.0,italian,male,59605
721,42.0,italian,male,67335
722,23.0,italian,male,115963
723,34.0,italian,female,70312
724,23.0,italian,female,77406
725,40.0,italian,male,42319
726,49.0,italian,male,68337
727,33.0,italian,female,88895
728,25.0,italian,male,60474
729,21.0,italian,female,74984
730,55.0,italian,male,42172
731,23.0,italian,male,137994
732,59.0,italian,female,67125
733,49.0,italian,male,125753
734,78.0,italian,female,151610
735,47.0,italian,female,50293
736,52.0,italian,male,45875
737,32.0,italian,female,13410
738,24.0,italian,male,52494
739,43.0,italian,male,70772
740,18.0,italian,male,55796
741,36.0,kambaata,male,60883
742,51.0,kambaata,male,87803
743,54.0,kambaata,male,65342
744,26.0,kannada,female,58126
745,20.0,khmer,female,102579
746,19.0,kikongo,male,42466
747,38.0,konkani,female,60771
748,29.0,korean,male,94991
749,34.0,korean,male,90852
750,26.0,korean,male,63044
751,31.0,korean,male,69686
752,50.0,korean,female,102860
753,42.0,korean,male,67673
754,30.0,korean,female,70049
755,21.0,korean,male,93873
756,25.0,korean,male,53157
757,21.0,korean,female,76559
758,23.0,korean,female,57400
759,58.0,korean,female,79472
760,21.0,korean,male,22472
761,19.0,korean,female,63309
762,49.0,korean,female,87438
763,42.0,korean,male,76785
764,34.0,korean,female,90947
765,23.0,korean,male,63518
766,51.0,korean,male,152987
767,62.0,korean,female,101104
768,19.0,korean,female,69572
769,19.0,korean,female,53960
770,49.0,korean,female,138484
771,18.0,korean,female,117253
772,35.0,korean,female,134095
773,30.0,korean,female,74072
774,20.0,korean,female,121936
775,48.0,korean,male,92288
776,51.0,korean,female,127818
777,27.0,korean,female,95611
778,25.0,korean,male,66908
779,55.0,korean,male,118789
780,29.0,korean,female,47158
781,21.0,korean,female,48842
782,50.0,korean,female,80641
783,26.0,korean,male,123917
784,20.0,korean,male,72401
785,49.0,korean,male,129487
786,28.0,korean,male,72867
787,21.0,korean,female,84422
788,23.0,korean,male,113814
789,32.0,korean,male,57924
790,22.0,korean,female,118157
791,50.0,korean,female,148052
792,57.0,korean,female,149046
793,25.0,korean,male,50055
794,40.0,korean,male,56582
795,21.0,korean,female,68633
796,32.0,korean,male,24622
797,39.0,korean,female,56016
798,34.0,korean,male,64146
799,24.0,malayalam,male,68279
800,29.0,malayalam,female,57944
801,19.0,malayalam,female,58987
802,26.0,mandarin,female,73871
803,19.0,mandarin,male,43502
804,49.0,mandarin,male,111839
805,26.0,mandarin,male,65523
806,27.0,mandarin,male,101129
807,38.0,mandarin,female,88907
808,38.0,mandarin,female,87957
809,39.0,mandarin,female,45513
810,21.0,mandarin,female,86623
811,28.0,mandarin,female,79666
812,31.0,mandarin,female,36876
813,18.0,mandarin,male,77820
814,45.0,mandarin,male,136954
815,24.0,mandarin,male,52146
816,43.0,mandarin,male,79510
817,26.0,mandarin,female,79209
818,25.0,mandarin,male,36559
819,31.0,mandarin,female,56296
820,27.0,mandarin,female,62127
821,32.0,mandarin,female,110989
822,32.0,mandarin,female,121893
823,33.0,mandarin,female,119694
824,24.0,mandarin,female,86857
825,24.0,mandarin,female,110192
826,28.0,mandarin,male,73677
827,34.0,mandarin,female,118111
828,47.0,mandarin,female,107700
829,24.0,mandarin,female,69942
830,21.0,mandarin,male,110713
831,42.0,mandarin,female,127782
832,43.0,mandarin,female,87854
833,28.0,mandarin,female,106731
834,37.0,mandarin,male,68522
835,21.0,mandarin,male,71844
836,31.0,mandarin,female,110796
837,25.0,mandarin,male,65072
838,26.0,mandarin,female,67405
839,38.0,mandarin,female,105236
840,25.0,mandarin,female,86741
841,25.0,mandarin,female,112297
842,26.0,mandarin,female,71065
843,20.0,mandarin,male,85032
844,23.0,mandarin,male,77683
845,20.0,mandarin,female,190545
846,28.0,mandarin,female,115537
847,41.0,mandarin,female,57383
848,33.0,mandarin,female,128563
849,24.0,mandarin,male,37565
850,27.0,mandarin,male,86442
851,24.0,mandarin,female,140180
852,20.0,mandarin,female,80844
853,22.0,mandarin,male,85239
854,29.0,mandarin,male,63732
855,38.0,mandarin,male,57941
856,21.0,marathi,female,62063
857,28.0,marathi,male,64717
858,31.0,marathi,male,74372
859,25.0,mongolian,male,69365
860,19.0,mongolian,male,59793
861,24.0,naxi,female,87661
862,35.0,oriya,male,50164
863,32.0,oriya,male,123672
864,33.0,oromo,female,35148
865,33.0,oromo,male,78313
866,35.0,oromo,female,51843
867,26.0,polish,female,57228
868,30.0,polish,female,97260
869,56.0,polish,female,44594
870,40.0,polish,male,70532
871,22.0,polish,male,64605
872,97.0,polish,male,92715
873,25.0,polish,female,66288
874,19.0,polish,male,59478
875,33.0,polish,female,123263
876,18.0,polish,male,54781
877,24.0,polish,male,42026
878,26.0,polish,female,114199
879,53.0,polish,female,116675
880,30.0,polish,male,73083
881,19.0,polish,male,125887
882,21.0,polish,male,49795
883,20.0,polish,female,85462
884,20.0,polish,male,70614
885,19.0,polish,male,96920
886,19.0,polish,male,105801
887,20.0,polish,female,59809
888,20.0,polish,male,109072
889,31.0,polish,female,72125
890,21.0,polish,female,149886
891,34.0,polish,female,107274
892,42.0,polish,male,64239
893,21.0,polish,male,51513
894,48.0,polish,female,133507
895,47.0,polish,female,71459
896,22.0,polish,male,47811
897,26.0,polish,female,62011
898,20.0,polish,male,35442
899,20.0,polish,male,62466
900,23.0,polish,female,67035
901,37.0,portuguese,female,104199
902,21.0,portuguese,male,89369
903,40.0,portuguese,female,82612
904,18.0,portuguese,male,55613
905,25.0,portuguese,male,62256
906,54.0,portuguese,male,68482
907,25.0,portuguese,male,77956
908,18.0,portuguese,male,69091
909,32.0,portuguese,male,19030
910,18.0,portuguese,female,52961
911,21.0,portuguese,male,83935
912,23.0,portuguese,male,34332
913,29.0,portuguese,female,58776
914,22.0,portuguese,female,97257
915,20.0,portuguese,female,71402
916,25.0,portuguese,female,52101
917,33.0,portuguese,female,70138
918,36.0,portuguese,female,79630
919,28.0,portuguese,male,79826
920,18.0,portuguese,female,68802
921,26.0,portuguese,female,39839
922,29.0,portuguese,male,94410
923,29.0,portuguese,male,55823
924,38.0,portuguese,male,50378
925,18.0,portuguese,male,28557
926,22.0,portuguese,female,50242
927,39.0,portuguese,female,170542
928,43.0,portuguese,female,51200
929,25.0,portuguese,male,59810
930,26.0,portuguese,female,90292
931,23.0,portuguese,male,83706
932,32.0,portuguese,female,55790
933,38.0,portuguese,female,45655
934,19.0,portuguese,female,83199
935,22.0,portuguese,female,104837
936,31.0,portuguese,male,87173
937,44.0,portuguese,male,52212
938,40.0,portuguese,male,82166
939,26.0,portuguese,male,59723
940,18.0,portuguese,male,52151
941,22.0,punjabi,male,104011
942,26.0,punjabi,male,39795
943,19.0,punjabi,male,51156
944,33.0,punjabi,female,91029
945,49.0,punjabi,male,190258
946,44.0,punjabi,male,74872
947,19.0,punjabi,male,142805
948,37.0,russian,male,95866
949,20.0,russian,female,31120
950,54.0,russian,male,73750
951,62.0,russian,male,109531
952,26.0,russian,male,30778
953,33.0,russian,male,73476
954,37.0,russian,male,64072
955,23.0,russian,male,50579
956,46.0,russian,female,58489
957,33.0,russian,female,126544
958,21.0,russian,male,90275
959,18.0,russian,male,55661
960,19.0,russian,male,80758
961,27.0,russian,male,148737
962,25.0,russian,male,121730
963,31.0,russian,male,44936
964,25.0,russian,female,95472
965,68.0,russian,female,192821
966,30.0,russian,female,89399
967,24.0,russian,female,92939
968,27.0,russian,female,101084
969,29.0,russian,female,48426
970,68.0,russian,female,91910
971,24.0,russian,female,89483
972,26.0,russian,female,85175
973,25.0,russian,female,88217
974,26.0,russian,female,116973
975,66.0,russian,male,139242
976,23.0,russian,male,15744
977,20.0,spanish,female,141146
978,21.0,tagalog,male,95947
979,21.0,taishan,male,128176
980,35.0,tamil,female,48271
981,26.0,tamil,male,50937
982,36.0,tamil,female,47923
983,47.0,tamil,female,78021
984,29.0,tatar,female,64462
985,31.0,telugu,male,70176
986,18.0,telugu,male,93735
987,59.0,teochew,female,74439
988,20.0,tibetan,female,134857
989,25.0,tigrigna,female,71230
990,58.0,tigrigna,female,52314
991,27.0,turkish,female,80028
992,27.0,turkish,male,48105
993,24.0,turkish,female,71146
994,25.0,turkish,male,84351
995,18.0,turkish,female,51478
996,23.0,turkish,female,42913
997,18.0,turkish,male,55990
998,25.0,turkish,male,146504
999,31.0,turkish,male,35897
1000,27.0,turkish,male,63026
1001,25.0,turkish,male,54088
1002,24.0,turkish,male,56920
1003,19.0,turkish,female,42065
