age,nl,sex,zcr
70.0,english,female,60944
71.0,english,female,44494
59.0,english,female,91983
74.0,english,male,85638
84.0,english,female,53314
62.0,english,male,53580
58.0,english,female,45699
82.0,english,female,60476
39.0,english,male,37159
48.0,english,female,47665
76.0,english,female,60276
83.0,english,female,50830
80.0,english,female,56077
53.0,english,male,81434
59.0,english,female,74417
26.0,english,female,74853
29.0,english,female,75237
29.0,english,male,72935
32.0,english,female,67175
24.0,english,female,82555
47.0,english,male,53421
64.0,english,male,61203
60.0,english,female,74341
26.0,english,female,51355
31.0,english,female,39990
20.0,english,female,71306
30.0,english,female,60554
32.0,english,male,66001
34.0,english,male,121247
20.0,english,female,99553
27.0,english,male,53374
38.0,english,male,70985
31.0,english,male,80936
24.0,english,female,86304
75.0,english,male,71539
31.0,english,male,65704
30.0,english,female,100709
68.0,english,female,67410
55.0,english,female,93721
19.0,english,female,44008
47.0,english,male,86779
23.0,english,female,72767
23.0,english,female,32857
32.0,english,female,59469
24.0,english,male,51345
20.0,english,female,76702
21.0,english,male,78535
20.0,english,female,71954
18.0,english,female,65198
63.0,english,female,117804
22.0,english,female,55624
19.0,english,female,67992
23.0,english,male,73037
31.0,english,male,77025
24.0,english,male,51852
60.0,english,male,97304
23.0,english,female,59794
21.0,english,male,98554
20.0,english,male,85959
27.0,english,male,53592
52.0,english,male,105687
26.0,english,male,84073
44.0,english,male,52933
24.0,english,male,30737
21.0,english,female,75594
19.0,english,female,77290
29.0,english,female,55625
37.0,english,female,68942
43.0,english,male,104149
22.0,english,female,63172
19.0,english,male,100370
73.0,english,male,87800
19.0,english,female,82247
44.0,english,female,87802
20.0,english,male,93593
53.0,english,female,70568
27.0,english,male,67445
20.0,english,male,41469
18.0,english,male,108171
23.0,english,male,90021
30.0,english,male,70929
22.0,english,male,104676
76.0,english,female,77485
21.0,english,male,61963
26.0,english,female,96346
20.0,english,male,36869
33.0,english,female,54651
29.0,english,female,43058
64.0,english,female,60238
31.0,english,female,118053
